instruction,output,category
"Mi hijo tomó un líquido de limpieza por accidente, ¿qué hago?","Retira la ropa contaminada, evalúa sus signos vitales, averigua qué consumió para informar al personal de salud, y llévalo de forma inmediata al establecimiento de salud más cercano. Si la persona está consciente, nunca le provoques el vómito. Si el tóxico es corrosivo (ácido), dale a beber abundante agua y trasládalo de urgencia.",intoxicaciones
¿Debo provocarle el vómito a alguien que se intoxicó?,"No. Si la persona está consciente, nunca se le debe provocar el vómito.",intoxicaciones
¿Qué hago si alguien inhaló gas tóxico como monóxido de carbono?,"Sácala inmediatamente y déjala respirar aire limpio. Si está inconsciente, al primer síntoma de dificultad respiratoria hay que practicarle respiración artificial y trasladarla de urgencia al establecimiento de salud más cercano.",intoxicaciones
"Un plaguicida le cayó en la piel a un trabajador, ¿qué se hace?","Retira la ropa mojada con el producto, lava abundantemente con agua la piel sin rozar. Si le salpicó los ojos, enjuágalos con agua durante 10 a 15 minutos. Traslada a la víctima al establecimiento de salud más cercano y lleva la etiqueta del producto tóxico.",intoxicaciones
¿Qué información debo averiguar si alguien se intoxicó?,Debes averiguar: ¿Qué es lo que ha ingerido? ¿Qué cantidad ha tomado? ¿Hace cuánto tiempo lo tomó? ¿Fue por vía inhalada o ingerida? Luego acude al establecimiento de salud más cercano llevando el envase del tóxico.,intoxicaciones
"Un químico le cayó en los ojos a mi compañero de trabajo, ¿qué hacemos?","Si es una sustancia irritante para los ojos, lávalos con agua por 10 a 15 minutos y llévalo al establecimiento de salud.",intoxicaciones
¿Cómo se clasifican las quemaduras según su profundidad?,"Se clasifican en primer grado (lesión de la superficie de la piel, enrojecimiento y dolor leve), segundo grado (lesión de la capa externa y media de la piel, con formación de ampollas, dolor e inflamación), y tercer grado (compromete todas las capas profundas de la piel, afecta vasos sanguíneos, tendones, nervios, músculos e incluso puede lesionar el hueso, con piel seca y acartonada sin dolor por destrucción de terminaciones nerviosas).",quemaduras
"Mi hijo se quemó la mano con agua caliente, ¿qué hago?","Mantén la zona de la quemadura bajo agua corriente fría con poca presión durante algunos minutos. Valora la quemadura según profundidad y extensión, y si es preciso, acude a un centro de salud. Cubre con una tela limpia o gasa ligeramente húmeda y sujeta con una venda. Si hay ampollas, cúbrelas con un tul graso y luego una gasa seca.",quemaduras
¿Puedo reventar las ampollas de una quemadura?,"No, nunca revientes las ampollas provocadas por la quemadura, así evitarás infecciones.",quemaduras
¿Qué hago si a alguien le cae un producto químico en la piel?,"En quemaduras químicas: enjuaga la piel con abundante agua, cubre a la víctima con una tela limpia o gasas, y trasládala al establecimiento de salud más cercano.",quemaduras
"Hubo un incendio y alguien inhaló mucho humo, ¿qué se hace?","En quemaduras por inhalación de vapores: retira a la víctima del lugar del accidente, cubre las quemaduras con gasa estéril o tela, y si la persona no tiene pulso, inicia la reanimación cardiopulmonar.",quemaduras
"Un trabajador recibió una descarga eléctrica, ¿qué debo hacer antes de tocarlo?","Antes de comenzar los primeros auxilios, interrumpe el contacto eléctrico cortando la corriente si es accesible. Si no puedes cortar el fluido eléctrico, colócate en una superficie seca de caucho o madera y retira a la persona con un objeto de madera o plástico (no conductores). No la toques con las manos, porque puedes recibir la descarga. Pide ayuda inmediatamente.",quemaduras
¿Qué NO debo aplicar sobre una quemadura?,"No apliques tratamiento tópico como pomadas, aceites, café o pasta de dientes, ni ninguna otra sustancia. Tampoco uses algodón ni esparadrapo directamente sobre la quemadura.",quemaduras
¿Puedo darle agua o comida a alguien que se quemó gravemente mientras llega la ayuda?,"No, no debes dar nada por vía oral, aunque el herido esté consciente y tenga sed. La reposición de líquidos en quemados graves solo se puede hacer por vía intravenosa en un centro de salud.",quemaduras
¿A partir de qué temperatura se considera fiebre?,"Se considera fiebre cuando la temperatura del cuerpo aumenta por encima de lo normal, es decir, por encima de 38.5°C. Algunas personas pueden presentar convulsiones febriles.",fiebre
"Mi hijo tiene fiebre alta, ¿qué puedo hacer mientras lo llevo al médico?","Mantenlo lo menos abrigado posible y apártalo de cualquier fuente de calor. Adminístrale agua o líquidos azucarados, y paracetamol según las indicaciones médicas.",fiebre
¿Qué hago si alguien se desmaya frente a mí?,"Comprueba que respira y tiene pulso. Trata de ubicar a la persona desmayada en un sitio fresco y ventilado. Levántale un poco las piernas, estando siempre acostada (si no hay lesiones en la cabeza, el estómago o las piernas). Una vez recuperada, déjala acostada en posición recta y que respire lenta y profundamente hasta que llegue el personal de salud.",desmayos
¿Debo levantar la cabeza o las piernas de una persona desmayada?,"Debes levantarle un poco las piernas, manteniéndola siempre acostada, siempre que no haya lesiones en la cabeza, el estómago o las piernas.",desmayos
"Me picó una abeja, ¿qué hago?","Intenta extraer el aguijón, lava bien la zona afectada con agua y jabón, y traslada al paciente al centro de salud para verificar que todo esté bien.",picaduras_mordeduras
"A mi compañero lo mordió una serpiente en el campo, ¿qué hacemos?","Afloja o quita la ropa que pueda apretar en caso de que se hinche la zona mordida. Si es posible, trata de inmovilizar la extremidad mordida con una venda elástica y manténla a un nivel inferior que el resto del cuerpo. Trasládalo con urgencia al establecimiento de salud más cercano.",picaduras_mordeduras
¿Qué debo verificar si a alguien lo mordió un perro u otro animal?,"Verifica que el animal no tenga rabia u otra enfermedad, controla posibles sangrados y traslada al paciente al establecimiento de salud más cercano.",picaduras_mordeduras
¿Qué hago si alguien tiene una convulsión?,"Despeja la zona de curiosos y deja espacio para el paciente. No trates de impedir las convulsiones, no lo sujetes ni introduzcas los dedos u objetos en la boca. Aleja del paciente objetos que puedan herirlo. Cuando finalice la convulsión, limpia la nariz y boca de saliva y secreciones usando guantes de látex, y mantén al paciente recostado con la cabeza a un lado.",convulsiones
¿Puedo meterle algo en la boca a alguien que está convulsionando para que no se muerda la lengua?,"Puedes colocar un objeto que el paciente pueda morder para evitar la mordedura de la lengua, pero sin tapar la boca. No introduzcas los dedos.",convulsiones
"Mi hijo tiene fiebre y comenzó a convulsionar, ¿qué hago?","Si la convulsión coincide con fiebre en niñas o niños pequeños, intenta bajar la temperatura aplicando medios físicos como paños húmedos en la frente, manos o abdomen, y adminístrale medicamento para la fiebre, que podría ser paracetamol.",convulsiones
"Después de que a alguien le pasa una convulsión, ¿qué debo hacer?","Asegúrate de que respire bien y tenga pulso. Cúbrelo con una frazada o manta. Una vez recuperado, recomiéndale que visite un establecimiento de salud de manera inmediata.",convulsiones
¿Cómo sé si alguien tiene una obstrucción severa de la vía aérea por atragantamiento?,"En la obstrucción severa, la víctima no habla, tiene tos inefectiva, cianosis (color azulado de la piel) y puede tener alteración de la conciencia. En cambio, en la obstrucción ligera, la víctima está agitada pero con tos efectiva.",atragantamiento
"Alguien se está atragantando pero todavía puede toser, ¿qué hago?","Si la obstrucción es ligera (tos efectiva), déjalo toser y vigílalo. No le des golpes en la espalda.",atragantamiento
¿Cómo se hace la maniobra de Heimlich en un adulto?,"El reanimador se sitúa de pie y sujeta a la persona por detrás, pasando los brazos por debajo de las axilas y rodeando el tórax. Coloca las manos sobre el abdomen (boca del estómago) y efectúa 5 compresiones hacia arriba y atrás, repitiendo el ciclo 3 veces, hasta que la persona expulse el cuerpo extraño.",atragantamiento
"Mi bebé se está atragantando, ¿la maniobra de Heimlich es igual que en adultos?","No, en lactantes la maniobra incluye 5 palmadas en la espalda y 5 compresiones torácicas, diferente a la de un adulto.",atragantamiento
¿Cómo se hace la maniobra de Heimlich en niños?,"En niños se realizan 5 palmadas inter-escapulares, 5 compresiones torácicas y 5 compresiones abdominales.",atragantamiento
¿Y si yo mismo me estoy atragantando y estoy solo?,Puedes realizar la auto maniobra de Heimlich sobre ti mismo.,atragantamiento
¿Qué causa el atragantamiento?,"Generalmente es causado por la existencia de un cuerpo extraño en las vías respiratorias, que impide que la persona respire y puede provocar pérdida de consciencia.",atragantamiento
¿Cuál es el signo universal de que alguien se está asfixiando?,"El signo universal de asfixia es cuando la persona se lleva las manos al cuello, indicando que no puede respirar.",atragantamiento
¿Qué es una luxación?,"Es cuando un hueso se sale de su articulación. Produce dolor localizado en la articulación que aumenta con el movimiento, imposibilidad de movimiento, inflamación y deformidad evidente.",traumatismos
¿Qué es un esguince y cómo se diferencia de una luxación?,"El esguince es una torcedura o estiramiento de los ligamentos y tendones. Produce dolor localizado en la articulación, inflamación, enrojecimiento de la zona lesionada y dificultad para la movilidad. A diferencia de la luxación, el hueso no se sale de su lugar.",traumatismos
"Me torcí el tobillo jugando fútbol, ¿qué hago?","Ante un esguince debes: aplicar frío local, levantar la extremidad afectada, mantenerla en reposo, inmovilizar la articulación y dirigirte a un establecimiento de salud.",traumatismos
¿Cómo sé si una persona tiene una fractura?,"Los signos de fractura son: dolor que aumenta con el movimiento, inflamación, posible deformidad, sonido del hueso al moverlo, e impotencia funcional.",fracturas
¿Cuál es la diferencia entre una fractura cerrada y una abierta?,"En la fractura cerrada, el hueso se rompe pero la piel que lo recubre queda intacta. En la fractura abierta, la piel también se rompe, produciendo una herida cerca del punto de fractura, con riesgo de complicaciones.",fracturas
"Creo que mi hermano se fracturó el brazo, ¿qué debo hacer?","No muevas la extremidad, aplica frío local, quita anillos, relojes u objetos que aprieten, e inmoviliza la articulación. En miembros superiores puedes hacer un cabestrillo con un pañuelo triangular o la ropa de la propia víctima.",fracturas
¿Qué hago si veo el hueso sobresaliendo en una fractura abierta?,"En fracturas abiertas, cubre la herida con gasa estéril. No intentes introducir el hueso dentro de la extremidad. Contén la posible hemorragia y observa el color de las manos y los pies.",fracturas
¿Se puede hacer presión directa sobre una fractura abierta si sangra?,"No, si existe una fractura abierta, no se debe hacer presión directa sobre la herida. En su lugar, se debe entablillar el miembro fracturado para evitar que el hueso roto se mueva y para calmar el dolor.",fracturas
¿Cómo se inmoviliza una fractura en la pierna?,"En los miembros inferiores se usan férulas rígidas a ambos lados con acolchamiento lateral, o se puede usar la otra pierna como soporte con acolchamiento interno.",fracturas
¿Por qué es importante la vacuna antitetánica en una fractura abierta o herida?,"Porque en una herida siempre hay peligro de infección tetánica, por eso es necesario vacunarse si no se ha puesto la vacuna antitetánica antes.",fracturas
¿Cuáles son los pasos de la reanimación cardiopulmonar (RCP)?,"1) Comprobar el estado de conciencia y pedir ayuda (hablarle, agitar sin movilizar, pellizcar o golpear suavemente). 2) Abrir la vía aérea con la maniobra frente-mentón y retirar objetos extraños de la boca con los dedos en forma de gancho. 3) Comprobar la respiración (ver, oír y sentir el tórax). 4) Comprobar el pulso en la carótida durante 10 segundos e iniciar el RCP. 5) Dar masaje cardíaco en el tercio inferior del esternón, comprimiendo 5 centímetros a un ritmo de 100 compresiones por minuto.",rcp
¿Cuál es el ritmo correcto de compresiones y ventilaciones en el RCP?,Las compresiones se alternan con las ventilaciones en un ritmo de 30 compresiones por 2 ventilaciones.,rcp
¿Dónde debo colocar las manos para hacer el masaje cardíaco?,"El punto de compresión está entre el tercio inferior del esternón. Se comprime con el talón de la mano sobre el esternón, cargando el peso del cuerpo verticalmente sobre los brazos, sin doblar los codos, comprimiendo 5 centímetros y descomprimiendo.",rcp
¿Qué hago si no conozco a la persona que necesita RCP y no tengo una barrera de protección para dar ventilaciones?,"Si no conoces al paciente y no hay una barrera de seguridad, solo debes realizar las compresiones torácicas hasta que llegue el apoyo médico.",rcp
¿Cómo se comprueba el pulso de una persona inconsciente?,"Ubica una mano en la frente y con la otra utiliza los dedos índice y medio a nivel del cuello, sobre la vena carótida. Los signos vitales se comprueban en 10 segundos.",rcp
¿A qué ritmo se deben hacer las compresiones cardíacas?,Se debe intentar acercarse a un ritmo de 100 compresiones por minuto.,rcp
¿Cómo se posiciona el reanimador para hacer RCP?,"El reanimador se ubica de rodillas a un lado de la víctima, a la altura de los hombros.",rcp
¿Qué se hace si al abrir la vía aérea hay un objeto extraño en la boca?,"Se limpia manualmente la vía aérea y se retiran los objetos extraños de la boca utilizando los dedos índices en forma de gancho, usando en lo posible guantes de látex.",rcp
¿Cómo debo transportar a una persona herida que está inconsciente?,"Si la persona no puede caminar, está inconsciente o no se conoce la gravedad de su estado, debe transportarse en camilla evitando movimientos bruscos, sobre todo de la cabeza y la espalda, sin movilizar el cuello.",transporte_heridos
"No tengo una camilla, ¿cómo puedo improvisar una?","Puedes confeccionar una camilla con 2 palos largos y ropa, costales, sacos, entre otros materiales disponibles.",transporte_heridos
¿Qué riesgo hay si transporto mal a un herido?,"Si el traslado de heridos no se realiza de forma correcta, se puede agravar el estado del paciente.",transporte_heridos
¿Qué debo cuidar especialmente al subir a un herido a la camilla?,"Debes evitar movimientos bruscos, sobre todo de la cabeza y la espalda, cuidando de no movilizar el cuello.",transporte_heridos
"Alguien vomitó mientras estaba semiinconsciente después de un accidente, ¿qué hago?","Colócala de costado. Cuando se recupere, recomiéndale que visite un establecimiento de salud de manera inmediata.",transporte_heridos
¿Qué se debe hacer si una persona intoxicada está inconsciente?,"Pide asistencia médica urgente. Coloca a la persona en posición inclinada con la cabeza de lado (posición de seguridad), aflójale la ropa y abrígala con una manta.",intoxicaciones
"Un señor se desmayó después de tomar un veneno, ¿cómo lo acomodo mientras llega la ambulancia?","Colócalo en posición de seguridad: de costado, con la cabeza inclinada hacia un lado, para evitar que se ahogue si vomita. Aflójale la ropa, abrígalo y pide asistencia médica urgente.",intoxicaciones
"Doctor, ¿qué se le da a alguien que tomó ácido por accidente?","Si el tóxico es corrosivo como un ácido, dale a beber abundante cantidad de agua y trasládalo de forma urgente al establecimiento de salud.",intoxicaciones
"Estoy en el trabajo y un compañero se desvaneció, ¿cómo lo ayudo?","Comprueba que respira y tiene pulso, ubícalo en un sitio fresco y ventilado, y levántale un poco las piernas mientras permanece acostado (si no hay lesión en cabeza, estómago o piernas).",desmayos
¿Cuánto tiempo debo esperar antes de llevar a alguien al centro de salud si se desmayó y ya se recuperó?,"Una vez que la persona se recupere, déjala acostada en posición recta y que respire lenta y profundamente hasta que llegue el personal de salud.",desmayos
"Mi abuela dice que se siente mareada y va a desmayarse, ¿qué hago antes de que pase?","Trata de ubicarla en un sitio fresco y ventilado, y ayúdala a sentarse o recostarse levantándole un poco las piernas, siempre que no haya lesiones en cabeza, estómago o piernas.",desmayos
¿Qué temperatura corporal se considera ya fiebre alta según la cartilla del MINSA?,Se considera fiebre cuando la temperatura corporal supera los 38.5°C.,fiebre
"Tengo un termómetro y marca 39 grados en mi hijo, ¿qué hago mientras lo lleva al centro de salud?","Mantenlo lo menos abrigado posible, apártalo de fuentes de calor, dale agua o líquidos azucarados, y adminístrale paracetamol según indicaciones médicas.",fiebre
"Vi que una avispa picó a un niño, ¿qué debo hacer?","Lava bien la zona afectada con agua y jabón y traslada al niño al centro de salud para verificar que todo esté bien. Si es una abeja, intenta extraer el aguijón primero.",picaduras_mordeduras
¿Qué se hace si a alguien lo muerde una serpiente venenosa en el campo?,"Afloja la ropa que apriete la zona (puede hincharse), inmoviliza la extremidad mordida con una venda elástica manteniéndola por debajo del nivel del corazón, y traslada a la persona con urgencia al centro de salud.",picaduras_mordeduras
"El gato de la calle me rasguñó y sangró un poco, ¿debo preocuparme?","Verifica si el animal tiene rabia u otra enfermedad, controla el sangrado y traslada a la persona afectada al establecimiento de salud más cercano para su evaluación.",picaduras_mordeduras
"Estoy con una persona que empezó a convulsionar de repente, ¿qué es lo primero que hago?","Despeja la zona de curiosos, deja espacio alrededor del paciente y aleja objetos que puedan herirlo. No intentes impedir la convulsión ni sujetar a la persona.",convulsiones
¿Es cierto que debo meterle una cuchara en la boca a alguien que está convulsionando?,"No debes introducir los dedos ni objetos metálicos en la boca. Solo puedes colocar un objeto blando que el paciente pueda morder para evitar que se muerda la lengua, sin tapar la boca por completo.",convulsiones
"Mi sobrino de 3 años tiene fiebre y tembló todo el cuerpo por unos segundos, ¿qué hago?","Si la convulsión coincide con fiebre en un niño pequeño, aplica medios físicos como paños húmedos en frente, manos o abdomen para bajar la temperatura, y adminístrale paracetamol. Cuando se recupere, llévalo de inmediato a un establecimiento de salud.",convulsiones
¿Cómo actúo si alguien se traga un pedazo de carne y no puede hablar ni toser?,"Si la obstrucción es severa (no habla, tos inefectiva, cianosis o alteración de conciencia), estimúlala primero para que tosa; si no elimina el objeto, realiza la maniobra de Heimlich: sujétala por detrás, coloca las manos sobre el abdomen y da 5 compresiones hacia arriba y atrás, repitiendo el ciclo 3 veces.",atragantamiento
¿Qué diferencia hay entre la maniobra de Heimlich en un bebé y en un adulto obeso?,"En lactantes se dan 5 palmadas en la espalda y 5 compresiones torácicas. En personas obesas o embarazadas la técnica se adapta, colocando las manos más arriba en el tórax en lugar del abdomen.",atragantamiento
¿Qué hago si la persona atragantada queda inconsciente durante la maniobra de Heimlich?,"Si la persona queda inconsciente, se debe iniciar la reanimación cardiopulmonar (RCP) mientras se pide ayuda urgente.",atragantamiento
"Se me torció la muñeca jugando vóley, ¿es esguince o fractura?","Si hay dolor localizado, inflamación, enrojecimiento y dificultad para moverla, pero no hay deformidad evidente ni sonido del hueso, probablemente sea un esguince (torcedura de ligamentos). Si hay deformidad evidente o el hueso suena al moverse, podría ser una fractura o luxación; en ambos casos acude a un establecimiento de salud.",traumatismos
"¿Qué es más grave, una luxación o un esguince?","La luxación (hueso fuera de su articulación) suele mostrar deformidad evidente e imposibilidad total de movimiento, mientras que el esguince (estiramiento de ligamentos) genera dolor e inflamación pero con menor deformidad. Ambos requieren inmovilización y atención médica.",traumatismos
¿El hielo ayuda en una torcedura de tobillo?,"Sí, ante un esguince se debe aplicar frío local, levantar la extremidad afectada, mantenerla en reposo, inmovilizarla y dirigirse a un establecimiento de salud.",traumatismos
"Choqué en bicicleta y me duele mucho el brazo, no lo puedo mover, ¿qué hago?","No muevas la extremidad, aplica frío local, quita anillos, relojes u objetos que puedan apretar, e inmoviliza la articulación. En el brazo puedes hacer un cabestrillo con un pañuelo triangular o la ropa de la víctima.",fracturas
¿Cómo sé si una fractura es abierta o cerrada?,"En la fractura cerrada el hueso se rompe pero la piel queda intacta. En la fractura abierta la piel también se rompe, generando una herida cerca de la fractura, con mayor riesgo de complicaciones e infección.",fracturas
"Vi el hueso de la pierna de alguien salido después de un accidente de tránsito, ¿qué hago mientras llega la ambulancia?","Cubre la herida con gasa estéril, no intentes introducir el hueso dentro de la extremidad, contén la posible hemorragia y observa el color de las manos y pies. No hagas presión directa sobre la fractura abierta.",fracturas
¿Cómo entablillo la pierna de alguien con sospecha de fractura?,"Usa férulas rígidas a ambos lados con acolchamiento lateral, o puedes usar la otra pierna sana como soporte, con acolchamiento interno entre ambas.",fracturas
¿Cómo compruebo si una persona inconsciente todavía respira?,"Para comprobar la respiración hay que ver, oír y sentir: observar si el tórax se mueve, escuchar los ruidos respiratorios y sentir el aire en la mejilla.",rcp
"Encontré a alguien tirado en la calle que no responde, ¿cómo empiezo el RCP paso a paso?","Primero comprueba el estado de conciencia y pide ayuda. Luego abre la vía aérea con la maniobra frente-mentón. Comprueba la respiración (ver, oír, sentir) y el pulso en la carótida durante 10 segundos. Si no hay signos vitales, inicia el masaje cardíaco alternando 30 compresiones con 2 ventilaciones.",rcp
¿Es cierto que si no conozco a la persona no debo darle respiración boca a boca?,"Si no conoces al paciente y no cuentas con una barrera de seguridad, solo debes realizar las compresiones torácicas hasta que llegue el apoyo médico, sin dar ventilaciones boca a boca.",rcp
¿A qué profundidad se debe comprimir el pecho durante el masaje cardíaco?,"Se debe comprimir aproximadamente 5 centímetros, cargando el peso del cuerpo verticalmente sobre los brazos sin doblar los codos, y luego descomprimir.",rcp
"No tengo camilla, ¿con qué puedo improvisar una para trasladar a un herido?","Puedes confeccionar una camilla con 2 palos largos y ropa, costales o sacos.",transporte_heridos
¿Por qué no debo mover el cuello de una persona accidentada al trasladarla?,"Porque si el traslado no se realiza correctamente, se puede agravar el estado del paciente. Hay que evitar movimientos bruscos, especialmente de la cabeza y la espalda, cuidando de no movilizar el cuello.",transporte_heridos
"Alguien inconsciente después de un accidente empezó a vomitar, ¿en qué posición lo pongo?","Colócalo de costado para evitar que se ahogue con el vómito. Cuando se recupere, recomiéndale que visite un establecimiento de salud de inmediato.",transporte_heridos
¿Qué debo llevar siempre a la mano para poder pedir ayuda en una emergencia?,"Ten siempre a la mano teléfonos de emergencia como el de la policía, el SAMU o los bomberos.",principios_basicos
"Vi un accidente de tránsito, ¿qué información debo dar cuando llame a emergencias?","Debes avisar a los servicios de emergencia informando la dirección exacta, una referencia del lugar, el número de accidentados, y el tipo de víctimas y lesiones (por ejemplo, llamando al 106 del SAMU o al 116 de bomberos).",principios_basicos
¿Debo mover a un accidentado para revisarlo mejor?,"No, uno de los principios básicos es no mover al accidentado. Debes examinarlo cuidadosamente en el lugar donde está, empezando por atender lo más urgente.",principios_basicos
"¿Cómo cuido una herida que solo raspó la piel, sin sangrar mucho?","Lávate las manos con agua y jabón, lava la herida con agua y jabón, y cúbrela con una gasa estéril fijada con esparadrapo. No uses alcohol u otro líquido distinto al agua.",heridas
¿Qué pasa si mi herida tiene más de 6 horas y todavía no la he curado?,"Una herida que lleva más de seis horas sin atención se considera una herida grave, por lo que debes acudir a un establecimiento de salud en lugar de intentar curarla en casa.",heridas
"Estoy ayudando a alguien con una hemorragia en el brazo, ¿debo subirle el brazo?","Sí, la elevación de la parte lesionada (brazo o pierna) ayuda a disminuir la presión de la sangre en el lugar de la herida, junto con la presión directa sobre la herida.",hemorragias
¿Puedo quitar la gasa que ya coloqué si sigue sangrando un poco?,"No, nunca debes retirar la primera gasa esterilizada; si sigue sangrando, coloca más gasas o vendaje encima sin quitar la primera.",hemorragias
